time_s,value
5.04,99.265869140625
5.1,99.265869140625
5.16,99.265869140625
5.22,99.265869140625
5.28,99.265869140625
5.34,99.265869140625
5.4,99.265869140625
5.46,99.265869140625
5.52,99.265869140625
5.58,99.265869140625
5.64,99.265869140625
5.7,99.265869140625
5.76,99.265869140625
5.82,99.265869140625
5.88,99.265869140625
5.94,99.265869140625
6,99.265869140625
6.06,99.265869140625
6.12,99.265869140625
6.18,99.265869140625
6.24,99.265869140625
6.3,99.265869140625
6.36,99.265869140625
6.42,99.265869140625
6.48,99.265869140625
6.54,99.265869140625
6.6,99.265869140625
6.66,99.265869140625
6.72,99.265869140625
6.78,99.265869140625
6.84,99.265869140625
6.9,99.265869140625
6.96,99.265869140625
7.02,99.265869140625
7.08,99.265869140625
7.14,99.265869140625
7.2,99.265869140625
7.26,99.265869140625
7.32,99.265869140625
7.38,99.265869140625
7.44,99.265869140625
7.5,99.265869140625
7.56,99.265869140625
7.62,99.265869140625
7.68,99.265869140625
7.74,99.265869140625
7.8,99.265869140625
7.86,99.265869140625
7.92,99.265869140625
7.98,99.265869140625
8.04,99.265869140625
8.1,99.265869140625
8.16,149.400146484375
8.22,149.400146484375
8.28,149.400146484375
8.34,149.400146484375
8.4,149.400146484375
8.46,149.400146484375
8.52,149.400146484375
8.58,149.400146484375
8.64,149.400146484375
8.7,149.400146484375
8.76,149.400146484375
8.82,149.400146484375
8.88,149.400146484375
8.94,149.400146484375
9,149.400146484375
9.06,149.400146484375
9.12,149.400146484375
9.18,149.400146484375
9.24,149.400146484375
9.3,149.400146484375
9.36,149.400146484375
9.42,149.400146484375
9.48,149.400146484375
9.54,149.400146484375
9.6,149.400146484375
9.66,149.400146484375
9.72,149.400146484375
9.78,149.400146484375
9.84,149.400146484375
9.9,149.400146484375
9.96,149.400146484375
10.02,149.400146484375
10.08,149.400146484375
10.14,149.400146484375
10.2,149.400146484375
10.26,149.400146484375
10.32,149.400146484375
10.38,149.400146484375
10.44,149.400146484375
10.5,149.400146484375
10.56,149.400146484375
10.62,149.400146484375
10.68,149.400146484375
10.74,149.400146484375
10.8,149.400146484375
10.86,149.400146484375
10.92,149.400146484375
10.98,149.400146484375
11.04,149.400146484375
11.1,199.534423828125
11.16,199.534423828125
11.22,199.534423828125
11.28,199.534423828125
11.34,199.534423828125
11.4,199.534423828125
11.46,199.534423828125
11.52,199.534423828125
11.58,199.534423828125
11.64,199.534423828125
11.7,199.534423828125
11.76,199.534423828125
11.82,199.534423828125
11.88,199.534423828125
11.94,199.534423828125
12,199.534423828125
12.06,199.534423828125
12.12,199.534423828125
12.18,199.534423828125
12.24,199.534423828125
12.3,199.534423828125
12.36,199.534423828125
12.42,199.534423828125
12.48,199.534423828125
12.54,199.534423828125
12.6,199.534423828125
12.66,199.534423828125
12.72,199.534423828125
12.78,199.534423828125
12.84,199.534423828125
12.9,199.534423828125
12.96,199.534423828125
13.02,199.534423828125
13.08,199.534423828125
13.14,199.534423828125
13.2,199.534423828125
13.26,199.534423828125
13.32,199.534423828125
13.38,199.534423828125
13.44,199.534423828125
13.5,199.534423828125
13.56,199.534423828125
13.62,199.534423828125
13.68,199.534423828125
13.74,199.534423828125
13.8,199.534423828125
13.86,199.534423828125
13.92,199.534423828125
13.98,199.534423828125
14.04,199.534423828125
14.1,199.534423828125
14.16,249.668701171875
14.22,249.668701171875
14.28,249.668701171875
14.34,249.668701171875
14.4,249.668701171875
14.46,249.668701171875
14.52,249.668701171875
14.58,249.668701171875
14.64,249.668701171875
14.7,249.668701171875
14.76,249.668701171875
14.82,249.668701171875
14.88,249.668701171875
14.94,249.668701171875
15,249.668701171875
15.06,249.668701171875
15.12,249.668701171875
15.18,249.668701171875
15.24,249.668701171875
15.3,249.668701171875
15.36,249.668701171875
15.42,249.668701171875
15.48,249.668701171875
15.54,249.668701171875
15.6,249.668701171875
15.66,249.668701171875
15.72,249.668701171875
15.78,249.668701171875
15.84,249.668701171875
15.9,249.668701171875
15.96,249.668701171875
16.02,249.668701171875
16.08,249.668701171875
16.14,249.668701171875
16.2,249.668701171875
16.26,249.668701171875
16.32,249.668701171875
16.38,249.668701171875
16.44,249.668701171875
16.5,249.668701171875
16.56,249.668701171875
16.62,249.668701171875
16.68,249.668701171875
16.74,249.668701171875
16.8,249.668701171875
16.86,249.668701171875
16.92,249.668701171875
16.98,249.668701171875
17.04,249.668701171875
17.1,299.802978515625
17.16,299.802978515625
17.22,299.802978515625
17.28,299.802978515625
17.34,299.802978515625
17.4,299.802978515625
17.46,299.802978515625
17.52,299.802978515625
17.58,299.802978515625
17.64,299.802978515625
17.7,299.802978515625
17.76,299.802978515625
17.82,299.802978515625
17.88,299.802978515625
17.94,299.802978515625
18,299.802978515625
18.06,299.802978515625
18.12,299.802978515625
18.18,299.802978515625
18.24,299.802978515625
18.3,299.802978515625
18.36,299.802978515625
18.42,299.802978515625
18.48,299.802978515625
18.54,299.802978515625
18.6,299.802978515625
18.66,299.802978515625
18.72,299.802978515625
18.78,299.802978515625
18.84,299.802978515625
18.9,299.802978515625
18.96,299.802978515625
19.02,299.802978515625
19.08,299.802978515625
19.14,299.802978515625
19.2,299.802978515625
19.26,299.802978515625
19.32,299.802978515625
19.38,299.802978515625
19.44,299.802978515625
19.5,299.802978515625
19.56,299.802978515625
19.62,299.802978515625
19.68,299.802978515625
19.74,299.802978515625
19.8,299.802978515625
19.86,299.802978515625
19.92,299.802978515625
19.98,299.802978515625
20.04,299.802978515625
20.1,299.802978515625
20.16,349.937255859375
20.22,349.937255859375
20.28,349.937255859375
20.34,349.937255859375
20.4,349.937255859375
20.46,349.937255859375
20.52,349.937255859375
20.58,349.937255859375
20.64,349.937255859375
20.7,349.937255859375
20.76,349.937255859375
20.82,349.937255859375
20.88,349.937255859375
20.94,349.937255859375
21,349.937255859375
21.06,349.937255859375
21.12,349.937255859375
21.18,349.937255859375
21.24,349.937255859375
21.3,349.937255859375
21.36,349.937255859375
21.42,349.937255859375
21.48,349.937255859375
21.54,349.937255859375
21.6,349.937255859375
21.66,349.937255859375
21.72,349.937255859375
21.78,349.937255859375
21.84,349.937255859375
21.9,349.937255859375
21.96,349.937255859375
22.02,349.937255859375
22.08,349.937255859375
22.14,349.937255859375
22.2,349.937255859375
22.26,349.937255859375
22.32,349.937255859375
22.38,349.937255859375
22.44,349.937255859375
22.5,349.937255859375
22.56,349.937255859375
22.62,349.937255859375
22.68,349.937255859375
22.74,349.937255859375
22.8,349.937255859375
22.86,349.937255859375
22.92,349.937255859375
22.98,349.937255859375
23.04,349.937255859375
23.1,349.937255859375
23.16,399.06884765625
23.22,399.06884765625
23.28,399.06884765625
23.34,399.06884765625
23.4,399.06884765625
23.46,399.06884765625
23.52,399.06884765625
23.58,399.06884765625
23.64,399.06884765625
23.7,399.06884765625
23.76,399.06884765625
23.82,399.06884765625
23.88,399.06884765625
23.94,399.06884765625
24,399.06884765625
24.06,399.06884765625
24.12,399.06884765625
24.18,399.06884765625
24.24,399.06884765625
24.3,399.06884765625
24.36,399.06884765625
24.42,399.06884765625
24.48,399.06884765625
24.54,399.06884765625
24.6,399.06884765625
24.66,399.06884765625
24.72,399.06884765625
24.78,399.06884765625
24.84,399.06884765625
24.9,399.06884765625
24.96,399.06884765625
25.02,399.06884765625
25.08,399.06884765625
25.14,399.06884765625
25.2,399.06884765625
25.26,399.06884765625
25.32,399.06884765625
25.38,399.06884765625
25.44,399.06884765625
25.5,399.06884765625
25.56,399.06884765625
25.62,399.06884765625
25.68,399.06884765625
25.74,399.06884765625
25.8,399.06884765625
25.86,399.06884765625
25.92,399.06884765625
25.98,399.06884765625
26.04,399.06884765625
26.1,449.203125
26.16,449.203125
26.22,449.203125
26.28,449.203125
26.34,449.203125
26.4,449.203125
26.46,449.203125
26.52,449.203125
26.58,449.203125
26.64,449.203125
26.7,449.203125
26.76,449.203125
26.82,449.203125
26.88,449.203125
26.94,449.203125
27,449.203125
27.06,449.203125
27.12,449.203125
27.18,449.203125
27.24,449.203125
27.3,449.203125
27.36,449.203125
27.42,449.203125
27.48,449.203125
27.54,449.203125
27.6,449.203125
27.66,449.203125
27.72,449.203125
27.78,449.203125
27.84,449.203125
27.9,449.203125
27.96,449.203125
28.02,449.203125
28.08,449.203125
28.14,449.203125
28.2,449.203125
28.26,449.203125
28.32,449.203125
28.38,449.203125
28.44,449.203125
28.5,449.203125
28.56,449.203125
28.62,449.203125
28.68,449.203125
28.74,449.203125
28.8,449.203125
28.86,449.203125
28.92,449.203125
28.98,449.203125
29.04,449.203125
29.1,449.203125
29.16,499.33740234375
29.22,499.33740234375
29.28,499.33740234375
29.34,499.33740234375
29.4,499.33740234375
29.46,499.33740234375
29.52,499.33740234375
29.58,499.33740234375
29.64,499.33740234375
29.7,499.33740234375
29.76,499.33740234375
29.82,499.33740234375
29.88,499.33740234375
29.94,499.33740234375
30,499.33740234375
30.06,499.33740234375
30.12,499.33740234375
30.18,499.33740234375
30.24,499.33740234375
30.3,499.33740234375
30.36,499.33740234375
30.42,499.33740234375
30.48,499.33740234375
30.54,499.33740234375
30.6,499.33740234375
30.66,499.33740234375
30.72,499.33740234375
30.78,499.33740234375
30.84,499.33740234375
30.9,499.33740234375
30.96,499.33740234375
31.02,499.33740234375
31.08,499.33740234375
31.14,499.33740234375
31.2,499.33740234375
31.26,499.33740234375
31.32,499.33740234375
31.38,499.33740234375
31.44,499.33740234375
31.5,499.33740234375
31.56,499.33740234375
31.62,499.33740234375
31.68,499.33740234375
31.74,499.33740234375
31.8,499.33740234375
31.86,499.33740234375
31.92,499.33740234375
31.98,499.33740234375
32.04,499.33740234375
32.1,549.4716796875
32.16,549.4716796875
32.22,549.4716796875
32.28,549.4716796875
32.34,549.4716796875
32.4,549.4716796875
32.46,549.4716796875
32.52,549.4716796875
32.58,549.4716796875
32.64,549.4716796875
32.7,549.4716796875
32.76,549.4716796875
32.82,549.4716796875
32.88,549.4716796875
32.94,549.4716796875
33,549.4716796875
33.06,549.4716796875
33.12,549.4716796875
33.18,549.4716796875
33.24,549.4716796875
33.3,549.4716796875
33.36,549.4716796875
33.42,549.4716796875
33.48,549.4716796875
33.54,549.4716796875
33.6,549.4716796875
33.66,549.4716796875
33.72,549.4716796875
33.78,549.4716796875
33.84,549.4716796875
33.9,549.4716796875
33.96,549.4716796875
34.02,549.4716796875
34.08,549.4716796875
34.14,549.4716796875
34.2,549.4716796875
34.26,549.4716796875
34.32,549.4716796875
34.38,549.4716796875
34.44,549.4716796875
34.5,549.4716796875
34.56,549.4716796875
34.62,549.4716796875
34.68,549.4716796875
34.74,549.4716796875
34.8,549.4716796875
34.86,549.4716796875
34.92,549.4716796875
34.98,549.4716796875
35.04,549.4716796875
35.1,549.4716796875
35.16,599.60595703125
35.22,599.60595703125
35.28,599.60595703125
35.34,599.60595703125
35.4,599.60595703125
35.46,599.60595703125
35.52,599.60595703125
35.58,599.60595703125
35.64,599.60595703125
35.7,599.60595703125
35.76,599.60595703125
35.82,599.60595703125
35.88,599.60595703125
35.94,599.60595703125
36,599.60595703125
36.06,599.60595703125
36.12,599.60595703125
36.18,599.60595703125
36.24,599.60595703125
36.3,599.60595703125
36.36,599.60595703125
36.42,599.60595703125
36.48,599.60595703125
36.54,599.60595703125
36.6,599.60595703125
36.66,599.60595703125
36.72,599.60595703125
36.78,599.60595703125
36.84,599.60595703125
36.9,599.60595703125
36.96,599.60595703125
37.02,599.60595703125
37.08,599.60595703125
37.14,599.60595703125
37.2,599.60595703125
37.26,599.60595703125
37.32,599.60595703125
37.38,599.60595703125
37.44,599.60595703125
37.5,599.60595703125
37.56,599.60595703125
37.62,599.60595703125
37.68,599.60595703125
37.74,599.60595703125
37.8,599.60595703125
37.86,599.60595703125
37.92,599.60595703125
37.98,599.60595703125
38.04,599.60595703125
38.1,649.740234375
38.16,649.740234375
38.22,649.740234375
38.28,649.740234375
38.34,649.740234375
38.4,649.740234375
38.46,649.740234375
38.52,649.740234375
38.58,649.740234375
38.64,649.740234375
38.7,649.740234375
38.76,649.740234375
38.82,649.740234375
38.88,649.740234375
38.94,649.740234375
39,649.740234375
39.06,649.740234375
39.12,649.740234375
39.18,649.740234375
39.24,649.740234375
39.3,649.740234375
39.36,649.740234375
39.42,649.740234375
39.48,649.740234375
39.54,649.740234375
39.6,649.740234375
39.66,649.740234375
39.72,649.740234375
39.78,649.740234375
39.84,649.740234375
39.9,649.740234375
