time_s,value
5.04,73.196044921875
5.1,62.16650390625
5.16,87.233642578125
5.22,111.298095703125
5.28,73.196044921875
5.34,107.287353515625
5.4,109.292724609375
5.46,100.2685546875
5.52,117.314208984375
5.58,82.22021484375
5.64,110.29541015625
5.7,95.255126953125
5.76,93.249755859375
5.82,104.279296875
5.88,76.2041015625
5.94,109.292724609375
6,104.279296875
6.06,95.255126953125
6.12,116.3115234375
6.18,84.2255859375
6.24,108.2900390625
6.3,94.25244140625
6.36,94.25244140625
6.42,106.28466796875
6.48,74.19873046875
6.54,108.2900390625
6.6,107.287353515625
6.66,97.260498046875
6.72,115.308837890625
6.78,83.222900390625
6.84,109.292724609375
6.9,98.26318359375
6.96,87.233642578125
7.02,106.28466796875
7.08,79.212158203125
7.14,103.276611328125
7.2,108.2900390625
7.26,96.2578125
7.32,120.322265625
7.38,88.236328125
7.44,105.281982421875
7.5,99.265869140625
7.56,89.239013671875
7.62,104.279296875
7.68,80.21484375
7.74,100.2685546875
7.8,112.30078125
7.86,96.2578125
7.92,116.3115234375
7.98,87.233642578125
8.04,105.281982421875
8.1,101.271240234375
8.16,90.24169921875
8.22,119.319580078125
8.28,107.287353515625
8.34,134.35986328125
8.4,136.365234375
8.46,158.42431640625
8.52,139.373291015625
8.58,149.400146484375
8.64,127.341064453125
8.7,146.39208984375
8.76,145.389404296875
8.82,155.416259765625
8.88,159.427001953125
8.94,151.405517578125
9,149.400146484375
9.06,141.378662109375
9.12,148.3974609375
9.18,145.389404296875
9.24,153.410888671875
9.3,151.405517578125
9.36,144.38671875
9.42,146.39208984375
9.48,146.39208984375
9.54,148.3974609375
9.6,153.410888671875
9.66,152.408203125
9.72,151.405517578125
9.78,146.39208984375
9.84,147.394775390625
9.9,143.384033203125
9.96,143.384033203125
10.02,156.4189453125
10.08,152.408203125
10.14,151.405517578125
10.2,148.3974609375
10.26,142.38134765625
10.32,145.389404296875
10.38,142.38134765625
10.44,158.42431640625
10.5,154.41357421875
10.56,149.400146484375
10.62,150.40283203125
10.68,141.378662109375
10.74,148.3974609375
10.8,150.40283203125
10.86,153.410888671875
10.92,153.410888671875
10.98,146.39208984375
11.04,149.400146484375
11.1,143.384033203125
11.16,148.3974609375
11.22,171.459228515625
11.28,180.4833984375
11.34,171.459228515625
11.4,183.491455078125
11.46,181.486083984375
11.52,183.491455078125
11.58,194.52099609375
11.64,194.52099609375
11.7,195.523681640625
11.76,188.5048828125
11.82,187.502197265625
11.88,201.539794921875
11.94,203.545166015625
12,196.5263671875
12.06,188.5048828125
12.12,190.51025390625
12.18,203.545166015625
12.24,203.545166015625
12.3,199.534423828125
12.36,193.518310546875
12.42,194.52099609375
12.48,206.55322265625
12.54,204.5478515625
12.6,197.529052734375
12.66,190.51025390625
12.72,194.52099609375
12.78,206.55322265625
12.84,203.545166015625
12.9,196.5263671875
12.96,193.518310546875
13.02,193.518310546875
13.08,208.55859375
13.14,201.539794921875
13.2,198.53173828125
13.26,191.512939453125
13.32,197.529052734375
13.38,207.555908203125
13.44,202.54248046875
13.5,195.523681640625
13.56,188.5048828125
13.62,195.523681640625
13.68,210.56396484375
13.74,203.545166015625
13.8,197.529052734375
13.86,191.512939453125
13.92,197.529052734375
13.98,205.550537109375
14.04,201.539794921875
14.1,198.53173828125
14.16,191.512939453125
14.22,202.54248046875
14.28,224.6015625
14.34,226.60693359375
14.4,222.59619140625
14.46,224.6015625
14.52,233.625732421875
14.58,243.652587890625
14.64,240.64453125
14.7,238.63916015625
14.76,239.641845703125
14.82,250.67138671875
14.88,240.64453125
14.94,241.647216796875
15,239.641845703125
15.06,251.674072265625
15.12,245.657958984375
15.18,243.652587890625
15.24,245.657958984375
15.3,249.668701171875
15.36,248.666015625
15.42,245.657958984375
15.48,242.64990234375
15.54,249.668701171875
15.6,246.66064453125
15.66,243.652587890625
15.72,243.652587890625
15.78,254.68212890625
15.84,248.666015625
15.9,245.657958984375
15.96,243.652587890625
16.02,255.684814453125
16.08,246.66064453125
16.14,245.657958984375
16.2,242.64990234375
16.26,252.6767578125
16.32,247.663330078125
16.38,241.647216796875
16.44,245.657958984375
16.5,255.684814453125
16.56,247.663330078125
16.62,242.64990234375
16.68,244.6552734375
16.74,252.6767578125
16.8,249.668701171875
16.86,242.64990234375
16.92,243.652587890625
16.98,250.67138671875
17.04,246.66064453125
17.1,243.652587890625
17.16,251.674072265625
17.22,265.711669921875
17.28,271.727783203125
17.34,268.7197265625
17.4,278.74658203125
17.46,285.765380859375
17.52,286.76806640625
17.58,285.765380859375
17.64,295.792236328125
17.7,289.776123046875
17.76,288.7734375
17.82,300.8056640625
17.88,300.8056640625
17.94,290.77880859375
18,295.792236328125
18.06,300.8056640625
18.12,298.80029296875
18.18,293.786865234375
18.24,305.819091796875
18.3,297.797607421875
18.36,293.786865234375
18.42,295.792236328125
18.48,304.81640625
18.54,295.792236328125
18.6,290.77880859375
18.66,301.808349609375
18.72,298.80029296875
18.78,298.80029296875
18.84,304.81640625
